id,title,clips_count,description,episodes_count,genres,score,seasons_count,company,released_at,rating
54,Family Guy,288,The adventures of an endearingly ignorant dad and his hilariously odd family of middle-class New Englanders.,288,[Animation and Cartoons~Primetime Animation|Teen|Comedy~Sitcoms],4.35370739,15,FOX,2007-09-05T19:01:09Z,TV-MA
6979,South Park,3874,"Underpants-stealing gnomes, a talking Christmas poo, metrosexual Crab People…Every episode of this critically-acclaimed and award-winning show is packed with unforgettable adventures, cutting satire, and hilarious absurdity – from pissed off celebrities to talking towels to crime-fighting kids. So join Kyle, Stan, Kenny and Cartman for the all the dysfunction and all the excitement. For them, it's just a part of growing up in South Park!",274,[Comedy|Animation and Cartoons~Primetime Animation],4.36303207,20,Comedy Central,2011-06-15T03:26:09Z,TV-MA
53,American Dad!,121,This screwball family full of radically different personalities is just trying to figure out how to love and trust one another in a bi-partisan world.,172,[Comedy~Sitcoms|Animation and Cartoons~Primetime Animation],4.114006824,9,Fox Television Classics,2007-09-21T23:03:15Z,TV-14
389,Law & Order: Special Victims Unit,176,"This hard-hitting and emotional series from NBC's ""Law & Order"" brand chronicles the life and crimes of the Special Victims Unit of the New York City Police Department, an elite squad of detectives who investigate sexually based crimes. ",406,[Drama~Crime and Courtroom Drama|Drama~Mystery],4.622855997,18,NBC,2007-10-07T01:50:50Z,TV-14
1603,Naruto Shippuden,16,"The Village Hidden in the Leaves is home to the stealthiest ninja in the land.  But twelve years earlier, a fearsome Nine-tailed Fox terrorized the village before it was subdued and its spirit sealed within the body of a baby boy.  Now that boy, Naruto, has grown up to become a hyperactive ninja-in-training who's more interested in pranks than schoolwork...but Naruto is determined to become the greatest ninja ever!",597,[Anime~Anime - Action Adventure|Action and Adventure|International~Japanese],4.400626276,9,Viz Media,2008-12-04T01:22:06Z,TV-14
23104,Seinfeld,63,"Emmy award-winning ""Seinfeld"" is one of the most popular shows on the air. Mining his rich comedic resources, Jerry Seinfeld provides a hysterical look at life as a single adult in the '90s. Along with a refreshing cast and top-notch writing, this series is quickly becoming a comedy classic.",171,[Comedy~Sitcoms],4.366506162,9,Sony Pictures Television,2015-05-01T18:53:43Z,TV-PG
2553,Modern Family,68,"Today's American families come in all shapes and sizes. The cookie cutter mold of man + wife + 2.5 kids is a thing of the past, as it becomes quickly apparent in the bird's eye view of ABC's half-hour comedy, which takes an honest and often hilarious look at the composition and complexity of modern family life.",22,[Comedy~Sitcoms|Teen|Family],4.640557002,1,ABC,2009-09-02T21:10:10Z,TV-14
22416,Adventure Time,223,"It's one crazy adventure after another for human boy, Finn, and his best friend, Jake, a 28-year old dog with magical powers. They're out to have the most fun possible and they sure do find it exploring the Land of Ooo! Whether it's saving Princess Bubblegum, battling zombie candy, taunting the Ice King or rocking out with Marceline the Vampire Queen, with Finn and Jake it's always ADVENTURE TIME!",223,[Kids|Animation and Cartoons|Teen],4.36580305,7,Cartoon Network,2015-05-01T06:50:00Z,TV-PG
77,Saturday Night Live,7073,NBC in association with Broadway Video Enterprises bring you the landmark sketch comedy series.,370,[Comedy~Sketch Comedy|Comedy~Late Night Comedy],4.083795347,18,NBC,2007-10-11T15:51:20Z,TV-14
11248,The Mindy Project,23,"A single-camera comedy, starring Mindy Kaling, that follows a skilled OB/GYN navigating the tricky waters of both her personal and professional life, as she pursues her dreams of becoming the perfect woman, finding the perfect man and getting her perfect romantic comedy ending.",107,[Comedy~Sitcoms],4.440965244,5,Hulu Original Series,2012-08-16T16:17:05Z,TV-14
2505,Community,0,"Disbarred lawyer Jeff Winger enrolls in a local community college. While there, he forms a study group who eventually learn more about themselves than their course work.",110,[Comedy],4.583853327,6,Sony Pictures Television,,TV-14
